"2-Dehydro-3-deoxy-D-arabino-heptonate-7-phosphate",Intermediate
"2-Oxoglutarate",Intermediate
"2-Phospho-D-Glycerate",Intermediate
"3-Dehydroquinate",Intermediate
"3-Dehydroshikimate",Intermediate
"3-Phospho-D-Glycerate",Intermediate
"3-Phospho-D-Glyceroyl-phosphate",Intermediate
"5-O-(1-Carboxyvinyl)-3-phosphoshikimate",Intermediate
"ATP",Input
"Acetate",Intermediate
"Acetyl-CoA",Intermediate
"CO2",Input/Output
"Chorismate",Intermediate
"D-Erythrose-4-phosphate",Intermediate
"D-Glyceraldehyde-3-phosphate",Intermediate
"D-Xylulose-5-phosphate",Intermediate
"Fdred",Input
"Glycerone-phosphate",Intermediate
"H2",Input/Output
"H2O",Input/Output
"L-Glutamate",Intermediate
"L-Phenylalanine",Target
"N2",Input
"NADH",Input
"NH3",Intermediate
"Phenylpyruvate",Intermediate
"Phosphoenolpyruvate",Intermediate
"Prephenate",Intermediate
"Pyruvate",Intermediate
"Shikimate",Intermediate
"Shikimate-3-phosphate",Intermediate
"beta-D-Fructose-1,6-bisphosphate",Intermediate
"beta-D-Fructose-6-phosphate",Intermediate
